kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
10187017,K00082.05,Kepler-102 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.28691996,2.947e-05,-2.947e-05,135.85427,0.00452,-0.00452,0.705,0.23,-0.494,2.579,0.136,-0.136,41.5,2.9,-2.9,0.51,0.03,-0.02,792.0,,,92.97,21.13,-14.02,15.8,5,q1_q17_dr25_tce,4900.0,98.0,-98.0,4.602,0.017,-0.049,0.741,0.048,-0.03,281.48273,47.208031,11.492
10187017,K00082.06,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,22.4098677,0.0001651,-0.0001651,147.38366,0.00646,-0.00646,0.869,0.077,-0.611,2.271,0.203,-0.203,69.8,6.7,-6.7,0.73,0.05,-0.03,489.0,,,13.55,3.08,-2.04,11.9,6,q1_q17_dr25_tce,4900.0,98.0,-98.0,4.602,0.017,-0.049,0.741,0.048,-0.03,281.48273,47.208031,11.492
2571238,K00084.01,Kepler-19 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.286964466,3.831e-06,-3.831e-06,135.9945,0.00034,-0.00034,0.004,0.34,-0.004,3.3649,0.0145,-0.0145,691.7,3.2,-3.2,2.1,0.26,-0.1,762.0,,,79.68,28.1,-13.27,251.9,1,q1_q17_dr25_tce,5546.0,100.0,-111.0,4.575,0.018,-0.102,0.81,0.099,-0.04,290.42081,37.851799,11.898
5866724,K00085.01,Kepler-65 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.859935955,3.782e-06,-3.782e-06,132.040528,0.000542,-0.000542,0.049,0.281,-0.049,4.0185,0.0168,-0.0168,322.8,1.9,-1.9,2.56,0.1,-0.15,1246.0,,,569.5,73.19,-93.4,186.7,1,q1_q17_dr25_tce,6181.0,68.0,-86.0,4.22,0.033,-0.027,1.424,0.056,-0.085,288.68869,41.15118,11.018
5866724,K00085.02,Kepler-65 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.154911236,2.507e-06,-2.507e-06,133.498613,0.000939,-0.000939,0.113,0.345,-0.113,3.1341,0.027,-0.027,99.7,1.4,-1.4,1.42,0.06,-0.08,1740.0,,,2162.35,277.92,-354.64,83.0,2,q1_q17_dr25_tce,6181.0,68.0,-86.0,4.22,0.033,-0.027,1.424,0.056,-0.085,288.68869,41.15118,11.018
5866724,K00085.03,Kepler-65 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.13121389,1.902e-05,-1.902e-05,137.99254,0.00188,-0.00188,0.622,0.059,-0.457,4.2386,0.0554,-0.0554,111.8,2.2,-2.2,1.58,0.06,-0.1,1117.0,,,368.36,47.34,-60.42,55.3,3,q1_q17_dr25_tce,6181.0,68.0,-86.0,4.22,0.033,-0.027,1.424,0.056,-0.085,288.68869,41.15118,11.018
10593626,K00087.01,Kepler-22 b,CONFIRMED,CANDIDATE,0.881,0,0,0,0,289.864067,0.00121,-0.00121,133.69719,0.00214,-0.00214,0.856,0.043,-0.649,7.565,0.108,-0.108,529.1,10.5,-10.5,2.34,0.22,-0.23,257.0,,,1.03,0.26,-0.24,57.4,1,q1_q17_dr25_tce,5516.0,82.0,-74.0,4.446,0.104,-0.064,0.886,0.08,-0.089,289.2175,47.88446,11.664
7700871,K00088.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,5.17968868,1.152e-05,-1.152e-05,136.46144,0.00202,-0.00202,1.203,5.224,-0.118,3.7256,0.0918,-0.0918,121.8,3.0,-3.0,18.91,3.38,-1.7,972.0,,,211.06,115.27,-54.2,48.4,1,q1_q17_dr25_tce,5761.0,155.0,-155.0,4.548,0.051,-0.128,0.815,0.146,-0.073,297.31979,43.332722,11.871
8056665,K00089.01,Kepler-462 b,CONFIRMED,CANDIDATE,0.881,0,0,0,0,84.6877524,0.0001778,-0.0001778,150.57084,0.00172,-0.00172,0.017,0.303,-0.017,10.0248,0.052,-0.052,347.7,4.1,-4.1,3.37,0.58,-0.78,611.0,,,32.96,15.8,-15.16,95.1,1,q1_q17_dr25_tce,6688.0,120.0,-147.0,4.062,0.174,-0.116,1.79,0.311,-0.415,299.82117,43.81427,11.642
8056665,K00089.02,Kepler-462 c,CONFIRMED,CANDIDATE,0.997,0,0,0,0,207.5829306,0.0005737,-0.0005737,289.88311,0.00204,-0.00204,0.84,0.031,-0.572,7.0686,0.0866,-0.0866,505.1,7.6,-7.6,4.52,0.79,-1.04,453.0,,,9.97,4.79,-4.58,70.0,2,q1_q17_dr25_tce,6688.0,120.0,-147.0,4.062,0.174,-0.116,1.79,0.311,-0.415,299.82117,43.81427,11.642
